,wkr,wkrname,bula,year,Flooded,PostPeriod,spd_e_vs,spd_z_vs,cdu_e_vs,cdu_z_vs,pds_e_vs,pds_z_vs,del_spd_z_vs,Lagspd_z_vs,popdensity,shpop_o60,shmanu
129,65,Elbe-Elster - Oberspreewald-Lausitz II,912,1998,0,0,43.89707565,38.92102432,29.14826012,25.81739426,17.72471619,18.35672951,NA,NA,0.081257753,21.50757053,46.76552459
130,65,Elbe-Elster - Oberspreewald-Lausitz II,912,2002,1,1,44.49761581,45.76504517,27.94287491,26.05687332,18.64081955,15.70046711,6.844020844,38.92102432,0.087475933,24.20000076,37.20000076
131,66,Altmark,915,1998,0,0,44.79389954,40.00976563,28.26739311,25.90837479,20.70297813,20.72257423,NA,NA,0.05704188,20.12786196,32.96720856
132,66,Altmark,915,2002,1,1,45.17834473,45.60790253,30.73849297,27.96375656,14.6871748,13.88214493,5.598136902,40.00976563,0.051654801,22.5,29.29999924
133,67,Elbe-Havel-Gebiet,915,1998,0,0,42.36124802,38.33094025,31.67468262,27.8798008,18.50968361,19.88471794,NA,NA,0.072388031,20.75296288,41.49039126
134,67,Elbe-Havel-Gebiet,915,2002,1,1,45.1306839,43.52114868,32.4301033,30.16566277,12.99435329,13.07567787,5.190208435,38.33094025,0.073295072,22.70000076,39.70000076
135,68,Harz,915,1998,0,0,45.04603958,39.67638397,30.25440788,28.47097206,18.27596092,18.8218174,NA,NA,0.129033908,22.57877156,34.21469633
136,68,Harz,915,2002,0,1,44.9378891,44.84742737,29.71953392,29.02519608,13.41309834,12.7812748,5.171043396,39.67638397,0.127900735,24.79999924,30.70000076
137,69,Magdeburg,915,1998,0,0,45.53767776,40.04655838,24.25718117,22.12543488,22.25040436,24.01268387,NA,NA,1.047894478,21.57341276,32.48517895
138,69,Magdeburg,915,2002,1,1,47.67238998,46.34063339,26.4547081,23.76325798,15.57239342,15.40175247,6.294075012,40.04655838,1.211519599,24.89999962,18.39999962
139,70,Bšrde,915,1998,0,0,44.11545944,39.70951843,31.07546234,27.78210068,18.57735252,19.7819519,NA,NA,0.162344202,22.51151697,33.05765256
140,70,Bšrde,915,2002,0,1,45.17861938,44.62321854,32.46378708,30.40519714,14.87628365,13.41132259,4.913700104,39.70951843,0.131212175,24.39999962,35.29999924
141,71,Anhalt,915,1998,0,0,39.77004242,37.47331619,31.95055199,27.94187927,19.65963364,20.20807838,NA,NA,0.125398725,21.7062194,35.98412306
142,71,Anhalt,915,2002,1,1,40.34576797,42.88931656,33.24768448,29.74773407,16.18576431,14.46744156,5.416000366,37.47331619,0.134894714,24.60000038,30.5
143,72,Bernburg - Bitterfeld - Saalkreis,915,1998,0,0,40.32345581,36.15844345,32.83082199,29.44781113,18.65265846,19.55409813,NA,NA,0.226576105,22.08850913,34.37561823
144,72,Bernburg - Bitterfeld - Saalkreis,915,2002,1,1,43.27015305,40.30466843,32.52378082,31.46453476,14.42477226,14.16873932,4.146224976,36.15844345,0.171189532,23.70000076,35.40000153
145,73,Halle,915,1998,0,0,40.5283165,36.49731445,25.49600983,23.19638062,24.16381454,23.83970833,NA,NA,1.427970052,20.29143968,29.39048092
146,73,Halle,915,2002,1,1,39.39146805,42.03709412,25.83513641,24.48198891,22.48356247,17.18945122,5.539779663,36.49731445,1.877160311,23.20000076,18.70000076
147,74,Burgenland,915,1998,0,0,39.58443832,36.01493073,33.50997925,29.61654282,19.89413071,20.07736206,NA,NA,0.157950044,23.72821238,42.91439943
148,74,Burgenland,915,2002,0,1,35.51102448,40.7610817,34.52591705,31.40862846,16.61362076,14.86867523,4.74615097,36.01493073,0.16688858,26.20000076,35
149,75,Mansfelder Land,915,1998,0,0,41.44755936,37.21448517,31.09204865,29.06334305,20.47956276,20.43158722,NA,NA,0.147111267,23.52597114,40.6644688
150,75,Mansfelder Land,915,2002,0,1,39.81374359,41.76113129,31.06578064,30.88396454,16.98821831,15.10621166,4.546646118,37.21448517,0.131824166,25.39999962,31.79999924
151,76,Berlin-Mitte,911,1998,0,0,45.3175621,39.35622406,21.17912483,20.61522675,14.18757915,11.91577721,NA,NA,7.790262222,19.05802968,26.10375913
