"","nr","formulario","time","pidstr","frm2","frm3","frm4","age","female","income","educgrp","cordoba","info","pid","polar","mandate"
"332",332,3,2,NA,0,1,0,47,0,3,2,1,0,0,NA,4
"333",333,2,2,10,1,0,0,51,0,NA,3,1,2,1,0,1
"334",334,1,1,NA,0,0,0,53,1,3,2,1,0,0,3,1
"335",335,2,1,NA,1,0,0,50,0,NA,1,1,1,0,NA,1
"336",336,1,1,NA,0,0,0,39,0,NA,3,1,1,0,NA,1
"337",337,3,1,NA,0,1,0,18,0,5,2,1,2,0,4,3
"338",338,4,3,NA,0,0,1,30,1,4,2,1,0,0,NA,1
"339",339,2,2,7,1,0,0,49,0,NA,1,1,0,1,NA,1
"340",340,4,1,NA,0,0,1,49,1,3,2,1,2,0,NA,3
"341",341,3,2,NA,0,1,0,48,0,NA,2,1,1,0,NA,1
"342",342,2,1,NA,1,0,0,30,1,4,4,1,2,0,3,1
"343",343,1,2,NA,0,0,0,46,1,NA,2,1,1,0,NA,1
"344",344,4,2,NA,0,0,1,32,1,10,4,1,2,0,7,1
"345",345,4,1,NA,0,0,1,40,0,7,3,1,1,0,NA,1
"346",346,2,1,4,1,0,0,47,0,NA,2,1,1,1,NA,NA
"347",347,3,1,NA,0,1,0,42,1,NA,3,1,1,0,1,1
"348",348,3,2,NA,0,1,0,38,1,3,3,1,1,0,NA,2
"349",349,1,1,8,0,0,0,65,0,5,2,1,1,1,NA,1
"350",350,4,1,NA,0,0,1,19,0,9,3,1,2,0,6,1
"351",351,3,1,5,0,1,0,62,1,5,2,1,2,1,5,3
"352",352,2,1,NA,1,0,0,78,0,3,1,1,2,0,NA,1
"353",353,2,2,5,1,0,0,63,1,NA,1,1,1,1,7,1
"354",354,4,1,NA,0,0,1,49,1,4,3,1,1,0,7,1
"355",355,1,2,8,0,0,0,61,0,5,3,1,2,1,7,1
"356",356,1,1,5,0,0,0,41,0,6,2,1,2,1,10,1
"357",357,1,1,NA,0,0,0,81,1,6,2,1,1,0,NA,1
"358",358,3,1,NA,0,1,0,84,1,3,2,1,2,0,8,1
"359",359,2,2,NA,1,0,0,73,1,4,2,1,1,0,7,1
"360",360,4,3,NA,0,0,1,67,0,5,3,1,2,0,NA,2
"361",361,4,1,NA,0,0,1,50,1,8,3,1,2,0,4,1
"362",362,4,1,9,0,0,1,26,0,NA,3,1,2,1,7,3
"363",363,1,1,NA,0,0,0,54,1,6,2,1,1,0,NA,1
"364",364,2,1,NA,1,0,0,54,1,9,3,1,2,0,10,1
"365",365,3,1,NA,0,1,0,32,1,10,3,1,1,0,0,1
"366",366,2,2,NA,1,0,0,79,1,4,1,1,0,0,NA,2
"367",367,3,1,NA,0,1,0,23,0,5,2,1,0,0,NA,1
"368",368,4,1,8,0,0,1,74,0,7,3,1,2,1,7,1
"369",369,3,2,NA,0,1,0,18,0,9,3,1,2,0,5,1
"370",370,1,1,NA,0,0,0,32,1,NA,3,1,0,0,8,1
"371",371,3,1,NA,0,1,0,50,1,10,3,1,2,0,7,2
"372",372,4,1,NA,0,0,1,53,0,NA,4,1,1,0,5,2
"373",373,1,1,8,0,0,0,51,1,NA,4,1,2,1,8,2
"374",374,1,1,4,0,0,0,36,1,5,2,1,0,1,NA,2
"375",375,2,1,NA,1,0,0,70,1,NA,2,1,1,0,3,1
"376",376,2,1,NA,1,0,0,56,0,5,4,1,2,1,3,1
"377",377,3,1,NA,0,1,0,32,1,NA,4,1,1,0,NA,1
"378",378,4,1,9,0,0,1,67,1,5,1,1,0,1,NA,1
"379",379,1,1,NA,0,0,0,48,1,NA,3,1,1,0,7,1
"380",380,2,2,4,1,0,0,77,1,NA,3,1,2,1,5,1
"381",381,3,3,5,0,1,0,77,1,3,3,1,2,1,7,1
"382",382,2,2,NA,1,0,0,56,1,5,4,1,1,0,5,1
"383",383,1,2,3,0,0,0,63,0,5,3,1,2,1,6,4
"384",384,4,3,2,0,0,1,48,0,10,3,1,2,1,5,5
"385",385,2,3,6,1,0,0,28,0,6,2,1,1,1,7,3
"386",386,1,1,NA,0,0,0,54,0,4,2,1,1,0,NA,1
"387",387,4,3,NA,0,0,1,69,1,5,2,1,1,0,NA,3
"388",388,1,1,NA,0,0,0,31,1,5,3,1,2,0,5,1
"389",389,2,2,NA,1,0,0,40,0,NA,4,1,1,0,NA,3
"390",390,3,1,5,0,1,0,68,1,5,3,1,1,1,5,1
"391",391,1,1,NA,0,0,0,49,0,5,3,1,1,0,5,1
"392",392,3,3,NA,0,1,0,57,0,6,4,1,2,0,7,4
"393",393,2,2,6,1,0,0,24,1,6,3,1,1,1,10,1
"394",394,4,2,NA,0,0,1,39,1,NA,2,1,0,0,NA,2
"395",395,2,2,7,1,0,0,29,0,3,3,1,1,1,3,3
"396",396,3,3,NA,0,1,0,52,1,NA,3,1,2,0,6,1
"397",397,4,2,NA,0,0,1,25,0,5,3,1,1,0,6,1
"398",398,1,1,4,0,0,0,25,1,5,3,1,0,1,3,1
"399",399,3,3,NA,0,1,0,56,1,6,4,1,2,0,8,1
"400",400,4,2,7,0,0,1,81,1,NA,2,1,1,1,5,2
"401",401,3,2,NA,0,1,0,32,0,7,3,1,0,0,1,1
